Date,"Weight (kg)","Fat mass (kg)","Bone mass (kg)","Muscle mass (kg)","Hydration (kg)",Comments
"2022-05-29 07:42:42",91.22,22.56,3.39,65.26,46.07,
"2022-05-29 00:00:00",91.54,22.52,,,,
"2022-05-28 07:52:44",91.49,,,,,
"2022-05-27 07:03:34",90.76,22.46,3.37,64.92,45.81,
"2022-05-27 07:03:09",90.75,,,,,
"2022-05-27 00:00:00",90.80,,,,,
"2022-05-25 07:01:07",91.48,21.71,3.44,66.32,46.76,
"2022-05-25 00:00:00",91.50,,,,,
"2022-05-24 06:58:57",90.70,20.16,3.48,67.05,47.19,
"2022-05-24 00:00:00",90.70,,,,,
"2022-05-23 06:57:34",91.04,21.73,3.42,65.88,46.43,
"2022-05-23 00:00:00",91.00,,,,,
"2022-05-22 08:14:49",91.01,19.75,3.52,67.73,47.70,
"2022-05-22 00:00:00",91.00,,,,,
"2022-05-21 06:54:56",90.17,20.52,3.43,66.21,46.56,
"2022-05-21 00:00:00",90.20,,,,,
"2022-05-20 06:08:30",90.98,20.73,3.46,66.77,47.01,
"2022-05-20 00:00:00",91.00,,,,,
"2022-05-19 07:16:09",91.66,20.73,3.50,67.42,47.51,
"2022-05-19 00:00:00",91.70,,,,,
"2022-05-18 07:13:58",91.75,20.61,3.51,67.61,47.65,
"2022-05-18 07:13:32",91.98,,,,,
"2022-05-18 07:13:02",91.88,21.00,3.49,67.38,47.50,
"2022-05-18 00:00:00",91.70,,,,,
"2022-05-17 06:26:06",90.54,20.84,3.43,66.25,46.62,
"2022-05-17 00:00:00",90.50,,,,,
"2022-05-16 06:42:00",90.82,20.96,3.44,66.39,46.74,
"2022-05-16 00:00:00",90.80,,,,,
"2022-05-15 07:45:38",90.53,21.73,3.39,65.39,46.07,
"2022-05-15 00:00:00",90.50,,,,,
"2022-05-14 08:13:49",90.83,21.57,3.41,65.84,46.38,
"2022-05-14 00:00:00",90.80,,,,,
"2022-05-13 06:54:52",91.76,21.42,3.46,66.86,47.14,
"2022-05-13 00:00:00",91.80,,,,,
"2022-05-12 06:52:27",91.75,20.66,3.50,67.57,47.62,
"2022-05-12 00:00:00",91.80,,,,,
"2022-05-11 07:12:47",92.01,20.99,3.50,67.50,47.59,
"2022-05-11 00:00:00",92.00,,,,,
"2022-05-10 06:47:46",91.77,21.42,3.46,66.86,47.14,
"2022-05-10 00:00:00",91.80,,,,,
"2022-05-09 06:53:12",92.08,22.28,3.44,66.35,46.84,
"2022-05-09 00:00:00",92.10,,,,,
"2022-05-08 08:08:42",92.20,21.33,3.49,67.36,47.51,
"2022-05-08 00:00:00",92.20,,,,,
"2022-05-03 06:52:01",91.76,20.90,3.49,67.35,47.47,
"2022-05-02 00:00:00",91.30,,,,,
"2022-05-01 08:28:49",91.53,21.47,3.45,66.59,46.94,
"2022-04-21 06:37:53",90.78,21.51,3.41,65.84,46.38,
"2022-04-12 06:38:08",91.34,20.99,3.47,66.87,47.11,
"2022-04-10 08:01:18",91.11,20.17,3.50,67.42,47.48,
"2022-04-07 06:30:22",90.37,22.17,3.36,64.82,45.70,
"2022-04-01 06:52:08",91.11,20.96,3.46,66.69,46.97,
"2022-03-31 08:13:54",91.61,21.10,3.47,67.02,47.23,
"2022-03-29 08:07:01",91.82,20.75,3.50,67.55,47.62,
"2022-03-27 09:38:18",92.05,21.48,3.48,67.07,47.31,
"2022-03-24 08:09:20",90.36,20.82,3.43,66.10,46.51,
"2022-03-18 08:06:26",90.55,21.95,3.38,65.20,45.96,
"2022-03-17 07:54:18",90.94,20.95,3.45,66.53,46.85,
"2022-03-16 08:03:32",90.93,21.30,3.43,66.18,46.62,
"2022-03-15 08:05:30",91.21,21.70,3.42,66.06,46.57,
"2022-03-11 07:38:20",91.63,21.86,3.44,66.33,46.78,
"2022-03-04 08:04:31",90.73,21.87,3.39,65.45,46.13,
"2022-03-03 07:55:24",91.22,21.76,3.42,66.02,46.55,
"2022-03-02 07:48:02",90.98,21.75,3.41,65.80,46.38,
"2022-03-01 07:49:35",91.48,21.74,3.44,66.29,46.75,
"2022-02-28 06:39:01",92.41,22.14,3.46,66.80,47.17,
"2022-02-27 07:07:01",92.75,22.50,3.46,66.77,47.19,
"2022-02-19 09:03:19",90.81,20.80,3.45,66.54,46.85,
"2022-02-18 07:42:52",89.91,21.43,3.38,65.09,45.81,
"2022-02-17 07:53:17",90.29,21.03,3.41,65.83,46.33,
"2022-02-14 06:55:26",91.24,22.31,3.40,65.51,46.24,
"2022-02-13 08:29:43",91.86,22.07,3.44,66.34,46.82,
"2022-02-12 07:51:50",90.80,21.65,3.41,65.73,46.32,
"2022-02-11 07:19:23",90.12,21.37,3.39,65.35,46.00,
"2022-02-08 07:42:30",91.28,22.99,3.37,64.90,45.89,
"2022-02-05 07:41:03",91.72,22.10,3.43,66.18,46.70,
"2022-02-03 07:58:23",91.66,22.29,3.42,65.94,46.55,
"2022-02-02 08:05:39",92.01,22.47,3.43,66.10,46.69,
"2022-01-17 07:30:43",91.47,22.78,3.39,65.29,46.14,
"2022-01-05 06:52:12",92.09,22.29,3.44,66.35,46.86,
"2021-12-29 08:11:05",92.71,22.59,3.45,66.65,47.11,
"2021-12-15 08:14:00",90.09,20.94,3.41,65.73,46.24,
"2021-12-13 08:06:32",91.31,21.35,3.45,66.50,46.87,
"2021-12-07 07:47:08",91.04,20.96,3.45,66.62,46.92,
"2021-11-19 07:03:42",90.99,20.54,3.47,66.96,47.15,
"2021-11-19 07:03:10",91.24,21.00,3.46,66.76,47.03,
"2021-11-16 07:04:41",90.92,20.67,3.46,66.77,47.02,
"2021-11-12 07:47:25",90.85,20.67,3.46,66.71,46.97,
"2021-11-05 07:33:10",92.75,21.36,3.52,67.87,47.91,
"2021-11-02 06:48:49",91.03,19.57,3.53,67.92,47.85,
"2021-10-30 08:18:02",91.78,22.03,3.44,66.30,46.79,
"2021-10-25 06:55:00",92.10,21.47,3.48,67.14,47.37,
"2021-10-24 08:23:25",91.76,20.79,3.50,67.46,47.56,
"2021-10-23 08:43:22",91.68,20.87,3.49,67.31,47.45,
"2021-10-22 07:51:59",91.95,20.74,3.51,67.68,47.73,
"2021-10-21 10:11:38",92.22,20.75,3.52,67.93,47.92,
"2021-10-19 07:17:15",91.92,20.72,3.51,67.68,47.72,
"2021-09-13 07:53:49",91.17,21.25,3.44,66.46,46.84,
