Date,Weight,Fat
"29-05-2022","91,22","22,56"
"29-05-2022","91,54","22,52"
"27-05-2022","90,76","22,46"
"25-05-2022","91,48","21,71"
"24-05-2022","90,7","20,16"
"23-05-2022","91,04","21,73"
"22-05-2022","91,01","19,75"
"21-05-2022","90,17","20,52"
"20-05-2022","90,98","20,73"
"19-05-2022","91,66","20,73"
"18-05-2022","91,75","20,61"
"18-05-2022","91,88","21"
"17-05-2022","90,54","20,84"
"16-05-2022","90,82","20,96"
"15-05-2022","90,53","21,73"
"14-05-2022","90,83","21,57"
"13-05-2022","91,76","21,42"
"12-05-2022","91,75","20,66"
"11-05-2022","92,01","20,99"
"10-05-2022","91,77","21,42"
"09-05-2022","92,08","22,28"
"08-05-2022","92,2","21,33"
"03-05-2022","91,76","20,9"
"01-05-2022","91,53","21,47"
"21-04-2022","90,78","21,51"
"12-04-2022","91,34","20,99"
"10-04-2022","91,11","20,17"
"07-04-2022","90,37","22,17"
"01-04-2022","91,11","20,96"
"31-03-2022","91,61","21,1"
"29-03-2022","91,82","20,75"
"27-03-2022","92,05","21,48"
"24-03-2022","90,36","20,82"
"18-03-2022","90,55","21,95"
"17-03-2022","90,94","20,95"
"16-03-2022","90,93","21,3"
"15-03-2022","91,21","21,7"
"11-03-2022","91,63","21,86"
"04-03-2022","90,73","21,87"
"03-03-2022","91,22","21,76"
"02-03-2022","90,98","21,75"
"01-03-2022","91,48","21,74"
"28-02-2022","92,41","22,14"
"27-02-2022","92,75","22,5"
"19-02-2022","90,81","20,8"
"18-02-2022","89,91","21,43"
"17-02-2022","90,29","21,03"
"14-02-2022","91,24","22,31"
"13-02-2022","91,86","22,07"
"12-02-2022","90,8","21,65"
"11-02-2022","90,12","21,37"
"08-02-2022","91,28","22,99"
"05-02-2022","91,72","22,1"
"03-02-2022","91,66","22,29"
"02-02-2022","92,01","22,47"
"17-01-2022","91,47","22,78"
"05-01-2022","92,09","22,29"
