Body
Date,Weight,Fat
"31-12-2017","90.99","21.11"
"29-12-2017","90.76","20.19"
"28-12-2017","90.42","21.67"
"26-12-2017","89.67","21.6"
"25-12-2017","90.03","21.27"
"22-12-2017","89.93","20.24"
"21-12-2017","90.02","21.17"
"19-12-2017","89.68","20.5"
"16-12-2017","90.13","20.63"
"15-12-2017","89.79","21.21"
"14-12-2017","89.35","20.16"
"13-12-2017","89.64","20.43"
"12-12-2017","89.94","19.18"
"11-12-2017","89.68","20.55"
"10-12-2017","89.59","20.34"
"09-12-2017","89.88","19.85"
"08-12-2017","88.79","19.81"
"07-12-2017","88.75","20.17"
"06-12-2017","89.1","20.53"
"05-12-2017","88.94","20.28"
"04-12-2017","89.06","20.45"
"02-12-2017","90.32","19.99"
"30-11-2017","90.06","19.56"
"29-11-2017","89.51","20.18"
"28-11-2017","89.04","21.17"
"27-11-2017","88.56","21.33"
"26-11-2017","89.06","20.41"
"25-11-2017","88.84","19.5"
"24-11-2017","88.87","19.86"
"23-11-2017","88.85","20.07"
"22-11-2017","88.91","20.24"
"21-11-2017","89.12","20.54"
"20-11-2017","88.36","20.53"
"16-11-2017","88.53","19.82"
"15-11-2017","88.55","20.56"
"14-11-2017","88.47","20.37"
"13-11-2017","88.55","19.92"
"13-11-2017","88.76","20.6"
"12-11-2017","89.89","19.44"
"12-11-2017","89.95","19.84"
